Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.968700,43.968700,43.750000,43.937500,26.836645,1003200
1993-02-01,43.968700,44.250000,43.968700,44.250000,27.027504,480500
1993-02-02,44.218700,44.375000,44.125000,44.343700,27.084740,201300
1993-02-03,44.406200,44.843700,44.375000,44.812500,27.371080,529400
1993-02-04,44.968700,45.093700,44.468700,45.000000,27.485609,531500
1993-02-05,44.968700,45.062500,44.718700,44.968700,27.466482,492100
1993-02-08,44.968700,45.125000,44.906200,44.968700,27.466482,596100
1993-02-09,44.812500,44.812500,44.562500,44.656200,27.275616,122100
1993-02-10,44.656200,44.750000,44.531200,44.718700,27.313799,379600
1993-02-11,44.781200,45.125000,44.781200,44.937500,27.447432,19500
1993-02-12,44.875000,44.875000,44.593700,44.593700,27.237444,42500
1993-02-16,44.468700,44.468700,43.406200,43.468700,26.550312,374800
1993-02-17,43.468700,43.531200,43.281200,43.437500,26.531242,210900
1993-02-18,43.937500,43.937500,42.812500,43.406200,26.512125,378100
1993-02-19,43.406200,43.562500,43.343700,43.562500,26.607605,34900
1993-02-22,43.687500,43.781200,43.562500,43.718700,26.703007,513600
1993-02-23,43.843700,43.875000,43.468700,43.687500,26.683952,373700
1993-02-24,43.718700,44.250000,43.718700,44.250000,27.027504,26300
1993-02-25,44.218700,44.375000,44.125000,44.343700,27.084740,44500
1993-02-26,44.437500,44.437500,44.187500,44.406200,27.122917,66200
1993-03-01,44.562500,44.562500,44.218700,44.281200,27.046579,66500
1993-03-02,44.312500,44.937500,44.250000,44.937500,27.447432,182400
1993-03-03,45.000000,45.156200,44.937500,45.125000,27.561960,280100
1993-03-04,45.187500,45.187500,44.875000,44.875000,27.409258,89500
1993-03-05,44.937500,45.125000,44.718700,44.750000,27.332905,40000
1993-03-08,44.843700,45.750000,44.843700,45.750000,27.943699,50800
1993-03-09,45.656200,45.687500,45.500000,45.593700,27.848221,169300
1993-03-10,45.593700,45.687500,45.406200,45.687500,27.905519,194400
1993-03-11,45.718700,45.843700,45.500000,45.562500,27.829165,70900
1993-03-12,45.187500,45.218700,44.812500,45.093700,27.542839,643600
1993-03-15,45.062500,45.312500,45.062500,45.312500,27.676481,310800
1993-03-16,45.312500,45.437500,45.312500,45.312500,27.676481,30800
1993-03-17,45.250000,45.250000,44.968700,45.031200,27.504662,21800
1993-03-18,45.218700,45.500000,45.218700,45.312500,27.676481,59300
1993-03-19,45.281200,45.281200,45.031200,45.031200,27.634562,66900
1993-03-22,44.593700,44.875000,44.562500,44.781200,27.481148,183400
1993-03-23,44.906200,44.937500,44.812500,44.875000,27.538708,55200
1993-03-24,44.812500,45.062500,44.593700,44.875000,27.538708,37200
1993-03-25,44.906200,45.250000,44.843700,45.156200,27.711266,110100
1993-03-26,45.125000,45.156200,44.875000,44.906200,27.557854,101500
1993-03-29,44.937500,45.312500,44.937500,45.093700,27.672916,87100
1993-03-30,45.156200,45.218700,45.093700,45.218700,27.749620,56000
1993-03-31,45.343700,45.468700,45.187500,45.187500,27.730484,111600
1993-04-01,45.250000,45.250000,44.937500,45.031200,27.634562,129500
1993-04-02,44.656200,44.656200,44.093700,44.093700,27.059250,59400
1993-04-05,44.437500,44.437500,44.187500,44.312500,27.193508,172200
1993-04-06,44.406200,44.406200,44.062500,44.187500,27.116798,129700
1993-04-07,44.250000,44.343700,44.156200,44.343700,27.212673,28000
1993-04-08,44.531200,44.531200,44.093700,44.281200,27.174311,180800
1993-04-12,44.718700,44.937500,44.656200,44.906200,27.557854,348500
1993-04-13,44.875000,45.156200,44.843700,45.000000,27.615425,146100
1993-04-14,45.031200,45.062500,44.906200,44.937500,27.577065,119600
1993-04-15,44.906200,45.031200,44.750000,44.937500,27.577065,148600
1993-04-16,44.968700,45.031200,44.875000,44.937500,27.577065,47900
1993-04-19,44.937500,45.062500,44.718700,44.750000,27.462004,157000
1993-04-20,44.687500,44.750000,44.250000,44.531200,27.327742,279500
1993-04-21,44.625000,44.625000,44.375000,44.500000,27.308578,67900
1993-04-22,44.312500,44.687500,43.937500,43.937500,26.963387,97700
1993-04-23,43.843700,43.968700,43.687500,43.750000,26.848330,106000
1993-04-26,43.781200,43.937500,43.281200,43.406200,26.637335,62600
1993-04-27,43.343700,43.875000,43.343700,43.875000,26.925030,156800
1993-04-28,43.812500,43.906200,43.718700,43.781200,26.867468,85900
1993-04-29,43.875000,43.968700,43.625000,43.968700,26.982536,85000
1993-04-30,44.125000,44.281200,44.031200,44.031200,27.020882,88500
1993-05-03,44.093700,44.312500,43.906200,44.312500,27.193508,80500
1993-05-04,44.406200,44.625000,44.343700,44.468700,27.289385,149100
1993-05-05,44.468700,44.750000,44.468700,44.593700,27.366076,109000
1993-05-06,44.531200,44.562500,44.406200,44.437500,27.270227,54700
1993-05-07,44.468700,44.468700,44.281200,44.343700,27.212673,68000
1993-05-10,44.406200,44.687500,44.406200,44.437500,27.270227,113900
1993-05-11,44.437500,44.625000,44.312500,44.625000,27.385265,42600
1993-05-12,44.437500,44.593700,44.437500,44.562500,27.346931,31000
1993-05-13,44.375000,44.375000,44.000000,44.031200,27.020882,129100
1993-05-14,44.031200,44.156200,43.968700,44.000000,27.001738,63500
1993-05-17,44.125000,44.156200,43.937500,44.156200,27.097601,34000
1993-05-18,44.187500,44.218700,43.968700,44.125000,27.078436,105200
1993-05-19,44.125000,45.031200,43.843700,45.031200,27.634562,50200
1993-05-20,45.031200,45.156200,44.937500,45.156200,27.711266,98200
1993-05-21,45.187500,45.250000,44.718700,44.750000,27.462004,221400
1993-05-24,44.843700,45.093700,44.843700,44.937500,27.577065,30500
1993-05-25,45.125000,45.125000,45.031200,45.031200,27.634562,191800
1993-05-26,45.156200,45.625000,45.125000,45.593700,27.979761,102400
1993-05-27,45.656200,45.656200,45.375000,45.437500,27.883907,53800
1993-05-28,45.406200,45.406200,45.000000,45.218700,27.749620,79100
1993-06-01,45.375000,45.812500,45.312500,45.656200,28.018103,28300
1993-06-02,45.531200,45.750000,45.343700,45.593700,27.979761,20300
1993-06-03,45.500000,45.500000,45.343700,45.437500,27.883907,21600
1993-06-04,45.312500,45.312500,45.093700,45.281200,27.787987,32000
1993-06-07,45.375000,45.375000,45.125000,45.125000,27.692122,121400
1993-06-08,45.000000,45.000000,44.718700,44.718700,27.442808,104500
1993-06-09,44.875000,45.062500,44.812500,44.875000,27.538708,43300
1993-06-10,44.843700,44.937500,44.750000,44.906200,27.557854,17900
1993-06-11,45.062500,45.156200,44.906200,45.093700,27.672916,647400
1993-06-14,45.156200,45.187500,45.031200,45.031200,27.634562,64200
1993-06-15,45.093700,45.125000,44.937500,44.937500,27.577065,142400
1993-06-16,44.937500,45.031200,44.812500,45.031200,27.634562,330900
1993-06-17,45.125000,45.187500,45.031200,45.187500,27.730484,37400
1993-06-18,44.843700,44.843700,44.500000,44.500000,27.502123,58500
1993-06-21,44.625000,44.625000,44.531200,44.593700,27.560028,29300
1993-06-22,44.656200,44.656200,44.562500,44.625000,27.579351,137500
1993-06-23,44.625000,44.625000,44.218700,44.218700,27.328276,227600
1993-06-24,44.343700,44.812500,44.343700,44.812500,27.695250,243700
1993-06-25,44.781200,44.906200,44.750000,44.781200,27.675913,44800
1993-06-28,45.000000,45.281200,44.937500,45.281200,27.984930,439900
1993-06-29,45.218700,45.218700,45.000000,45.062500,27.849766,207500
1993-06-30,45.125000,45.218700,45.000000,45.062500,27.849766,437600
1993-07-01,45.125000,45.125000,44.875000,44.937500,27.772511,605700
1993-07-02,44.781200,44.812500,44.531200,44.687500,27.618004,285400
1993-07-06,44.625000,44.750000,44.156200,44.218700,27.328276,246400
1993-07-07,44.187500,44.406200,44.187500,44.343700,27.405525,343700
1993-07-08,44.375000,44.937500,44.312500,44.843700,27.714542,248200
1993-07-09,44.843700,44.968700,44.750000,44.968700,27.791801,378200
1993-07-12,44.906200,44.968700,44.843700,44.937500,27.772511,373700
1993-07-13,44.968700,45.093700,44.656200,44.906200,27.753159,389600
1993-07-14,44.937500,45.187500,44.906200,45.062500,27.849766,617300
1993-07-15,45.031200,45.031200,44.781200,44.875000,27.733885,443800
1993-07-16,44.906200,44.937500,44.687500,44.750000,27.656631,216400
1993-07-19,44.750000,44.750000,44.593700,44.718700,27.637297,188200
1993-07-20,44.687500,44.843700,44.468700,44.843700,27.714542,68500
1993-07-21,44.781200,44.812500,44.656200,44.812500,27.695250,142700
1993-07-22,44.750000,44.812500,44.500000,44.500000,27.502123,632400
1993-07-23,44.593700,44.718700,44.562500,44.718700,27.637297,286200
1993-07-26,44.843700,45.062500,44.843700,44.968700,27.791801,121300
1993-07-27,45.000000,45.031200,44.781200,44.937500,27.772511,92800
1993-07-28,44.843700,44.937500,44.781200,44.843700,27.714542,30800
1993-07-29,44.937500,45.218700,44.875000,45.093700,27.869038,331000
1993-07-30,45.093700,45.093700,44.781200,44.843700,27.714542,75300
1993-08-02,44.906200,45.125000,44.906200,44.968700,27.791801,41300
1993-08-03,45.062500,45.187500,44.843700,45.000000,27.811142,81600
1993-08-04,45.000000,45.093700,44.875000,45.000000,27.811142,434000
1993-08-05,45.000000,45.000000,44.843700,44.906200,27.753159,36800
1993-08-06,45.031200,45.062500,44.906200,44.968700,27.791801,402300
1993-08-09,45.093700,45.343700,45.000000,45.218700,27.946293,828200
1993-08-10,45.187500,45.218700,45.125000,45.187500,27.927008,604900
1993-08-11,45.156200,45.312500,45.156200,45.187500,27.927008,542200
1993-08-12,45.312500,45.312500,44.906200,45.062500,27.849766,303700
1993-08-13,45.093700,45.156200,45.093700,45.125000,27.888380,103500
1993-08-16,45.156200,45.500000,45.156200,45.375000,28.042887,241800
1993-08-17,45.343700,45.531200,45.343700,45.531200,28.139412,369300
1993-08-18,45.687500,45.875000,45.656200,45.781200,28.293930,414300
1993-08-19,45.812500,45.812500,45.718700,45.781200,28.293930,28500
1993-08-20,45.687500,45.812500,45.656200,45.812500,28.313282,80700
1993-08-23,45.625000,45.750000,45.625000,45.718700,28.255318,15600
1993-08-24,45.718700,46.218700,45.718700,46.218700,28.564318,273400
1993-08-25,46.218700,46.437500,46.156200,46.250000,28.583668,242300
1993-08-26,46.281200,46.531200,46.093700,46.281200,28.602955,120000
1993-08-27,46.156200,46.250000,46.156200,46.250000,28.583668,25700
1993-08-30,46.281200,46.500000,46.281200,46.437500,28.699543,183500
