seq,Credit_Default,BE_SCORE_ON_OD,BNI_SCORE_ON_OD,BUSAGE,BUSSTRUC,MAXLINEUTIL,AVGLINEUTIL12,MAXLINEBALRT,MAXTIMESLBAL12,DAYSDELQ,TOTDAYSDELQ12,TOTACBAL,MAXDELQ,TOTDELQ12,DEPOSITRT,AVGDEPRT12,ALL_OPEN_TRADE_UT,BR_OPEN_TRADE_UT,BR_TRADE_PAST_DUE
8,1,738,878,57,1,0.844,0.754125,0.844,2,0,0,,,,,,23,27,0
10,1,585,116,233,1,87.72,44.00915,15116.23,2,0,0,87.72,0,0,493.4415,21.1379,74,97,0
6,1,705,937,138,1,0.4902,0.4881,0.4902,0,0,0,14707.01,1,1,0,0,80,80,0
10,1,796,964,353,2,0.0001,0.00061,0.0001,0,0,0,11.58,0,5,0,0.3466,59,35,0
7,1,510,496,13,1,,6.619375,,9,,8,2652.37,0,4,21.1008,0.5458,73,17,0
10,1,829,971,176,3,0.4072,0.337433,0.4091,0,0,0,36746.56,2,9,0,0.0413,7,7,0
4,1,578,749,52,2,0.997,0.827408,0.997,2,0,0,29912.26,1,1,0.0044,0.1304,90,98,0
8,1,475,378,116,2,0.9553,0.745675,0.9797,3,0,0,71653.89,0,0,0.6689,0.7666,105,105,3
2,1,819,969,417,2,0.7745,0.79762,0.7782,0,53,1,38914.77,2,4,0,0.2612,67,8,0
5,1,686,932,90,1,0.8176,0.859991,0.9959,5,0,0,28908.48,0,4,0.2158,0.5946,19,5,0
10,1,739,939,51,1,0.8384,0.648466,0.8461,0,0,0,41921.39,0,0,0.0643,0.2061,15,0,0
2,1,632,791,24,2,1.0986,1.037991,1.1334,11,0,0,38453.09,0,0,0.0658,0.2191,87,100,0
7,1,642,925,26,1,0.2143,0.9217,1.006,9,0,0,16076.65,0,1,3.7053,0.2311,105,110,0
4,1,0,949,18,1,,,,,0,0,,,,,,,,0
2,1,536,363,102,1,1.0927,1.015718,1.1,5,0,0,66002.21,3,3,0,2.3281,45,55,1
7,1,0,970,33,1,1.5066,0.902977,1.8818,8,60,3,7532.87,0,0,3.3727,5.8797,,,
3,1,669,947,191,1,1.0152,0.77765,1.0152,2,0,0,40610.81,5,10,0,0.0048,43,44,0
5,1,638,893,25,4,,,,,0,0,,,,,,32,31,0
6,1,593,883,213,2,0.9915,0.966208,0.9915,7,0,0,14872.53,2,5,0,0.2752,88,86,0
2,1,563,713,37,4,0.9833,0.9757,1.0019,9,0,0,73753.14,0,0,0.1723,0.3655,,,0
4,1,0,968,119,1,1.0132,0.956458,1.0191,4,0,0,61151.39,2,4,0,0.086,,,
10,1,738,972,160,1,0,0.0761,0,0,0,0,889.43,0,0,8.9214,6.558,5,5,0
8,1,517,471,159,2,0.8371,0.931858,0.9408,0,0,0,41856.25,0,6,0.1308,0.1687,49,33,0
10,1,486,220,46,1,1.0151,0.80493,1.0229,3,0,0,30688.12,4,5,0,0.0691,89,89,0
8,1,704,879,22,2,0.7244,0.425237,0.7565,1,0,0,11347.55,2,2,0,0.4716,42,59,0
4,1,709,959,422,1,0.5494,0.649608,0.569,0,0,0,21977.02,0,1,0.0455,0.0354,0,0,0
8,1,590,577,86,2,1.0402,0.948833,1.0402,8,0,0,26006.09,3,7,0,0.0081,60,101,1
6,1,663,959,319,1,0,0,0,0,0,0,,,,,,23,24,0
10,1,628,901,123,2,0.9976,0.6016,0.9976,0,27,1,2992.65,1,1,0,0.1716,58,60,0
2,1,664,959,13,3,,,,,0,0,,,,,,61,47,0
7,1,677,290,54,2,0.9972,0.799683,0.9972,0,0,0,24930.06,0,3,0.3205,0.1723,62,57,0
10,1,611,951,69,1,1.0132,0.995241,1.0132,11,0,0,17730.9,2,5,0,0.0302,53,24,0
10,1,620,913,133,2,0,0,0,0,0,0,1587.4,0,0,64.2766,74.6925,55,64,0
9,1,785,969,12,2,0,0.321362,0.0018,0,0,0,36,0,4,0,0.032,18,18,0
9,1,726,960,96,2,0.9744,0.579325,0.9744,0,0,1,40959.31,6,8,0,0.033,80,53,0
7,1,687,936,12,1,0,0.745,0.5235,5,60,1,1020.15,0,0,16.319,6.5998,22,22,0
2,1,704,955,80,1,,,,,63,3,,,,,,70,70,0
7,1,583,629,12,1,0.1527,0.764683,0.5929,3,0,0,2291.63,0,0,4.9855,2.8264,72,83,0
4,1,723,943,13,1,0.6636,0.669655,1.0415,1,0,1,5309.44,0,0,1.0288,2.1589,34,38,0
7,1,637,888,117,1,,,,,30,1,,,,,,113,113,0
10,1,735,957,14,1,0.371,1.056387,1.5598,9,0,0,8313.08,0,0,22.0598,7.1513,29,8,0
2,1,680,852,252,1,1.0503,1.003666,1.0593,10,0,0,26483.84,8,11,0,0.0165,78,93,0
3,1,762,970,48,4,0.4937,0.767616,0.4999,0,0,0,29623.32,0,1,0.0168,0.0463,51,2,0
7,1,708,940,37,3,0,0.27874,0.1798,0,1,0,2313.05,0,3,5.822,2.2479,87,102,0
6,1,684,939,49,1,0.8933,0.959933,0.9972,2,0,0,35732.95,0,1,0.1786,0.2176,33,34,0
3,1,783,968,13,1,0.5865,0.5812,0.7039,1,0,0,35196.58,1,1,0,0.0744,31,11,0
2,1,531,548,52,1,,,,,25,0,,,,,,85,84,0
4,1,532,813,32,2,0.4109,0.329209,0.4163,0,0,0,6245.37,6,7,0,0.0137,97,97,0
3,1,706,952,39,2,0.5174,0.504233,0.541,0,0,0,15522.51,0,0,0.1758,0.1592,52,88,0
4,1,725,955,25,1,0.89,0.846316,1.0043,8,0,0,17800.04,0,0,0.6634,0.8633,81,85,0
7,1,690,953,14,1,,,,,0,0,,,,,,46,68,0
7,1,662,890,90,2,0.281,0.589977,0.281,0,0,0,7027.11,0,0,0.7115,0.335,41,19,0
9,1,665,715,138,2,0.143,0.696233,0.8263,2,0,0,2145.52,0,0,16.0765,2.1359,78,88,0
10,1,780,961,136,2,0.9669,0.501081,0.9669,1,0,0,7252.36,0,5,0.1378,0.3536,6,0,0
4,1,673,168,12,2,1.0019,0.662087,1.0019,1,0,0,15028.61,0,0,0.0319,0.2869,66,87,0
8,1,678,504,99,2,0.9749,0.960708,0.9749,2,0,0,43873.58,3,4,0,0.0118,114,123,0
3,1,647,657,13,1,1.0274,0.849363,1.0274,5,0,0,15411.18,2,2,0,0.5319,90,107,0
10,1,594,443,12,1,,,,,15,0,,,,,,95,99,0
5,1,661,752,44,1,0.0655,0.617,0.0655,2,0,2,3278.53,0,5,0,0.0969,51,51,0
2,1,673,545,46,1,0.9885,0.62225,1.0023,4,0,0,59312.68,0,3,0.0439,0.122,82,94,0
5,1,0,958,36,3,,,,,0,0,,,,,,,,
8,1,693,883,105,1,0.2961,0.197975,0.2961,0,1,0,1184.69,2,3,0,0.3156,10,10,0
4,1,492,794,14,4,0.7846,0.639218,0.7846,2,0,0,3923.37,2,2,0,1.1264,76,101,1
7,1,673,112,97,2,1.0253,0.941616,1.0253,8,0,0,15380.8,1,1,0,0.4705,52,100,0
9,1,489,703,62,2,,,,,0,0,,,,,,38,35,1
6,1,634,59,73,2,,,,,76,2,,,,,,73,84,0
2,1,540,613,48,2,0.4519,0.348091,0.4555,0,0,0,18221.94,5,11,0,0,95,95,1
5,1,710,960,181,2,0.526,0.38088,0.7142,0,0,3,1840.79,0,0,5.5112,6.296,,,
8,1,669,769,213,2,0.8724,0.682558,0.8858,2,0,0,52346.65,0,0,0.0611,0.2716,67,71,0
9,1,728,969,326,1,0,0.226225,0.5072,0,0,0,28258.37,0,0,0.5358,1.7283,33,33,0
6,1,657,946,113,1,1.0234,0.8355,1.7334,1,30,1,5116.69,0,0,2.7528,2.6979,43,37,0
10,1,733,894,100,2,0.9525,0.977841,0.9525,4,0,0,47150.28,2,6,0,0.0482,53,37,0
6,1,,,70,4,0.1599,0.8246,0.3469,9,0,0,10398.07,0,0,2.0964,1.0444,,,
7,1,653,773,35,2,0.7122,0.3389,0.7122,0,0,0,53420.16,0,0,0.014,0.033,9,4,0
5,1,590,60,21,1,0.9881,0.847737,0.9881,0,0,1,14822.68,0,4,0.6746,0.2726,88,89,0
2,1,593,247,86,4,1.2466,0.973608,1.2594,4,1,0,4461.83,0,0,0.2005,0.6809,56,86,0
2,1,670,638,41,2,0.9482,0.868016,1.0051,2,0,0,23705.61,0,4,0.0674,0.0314,68,84,0
10,1,684,921,137,1,0.9566,0.8573,0.9566,0,0,0,57400.86,1,1,0,0,89,99,0
8,1,528,533,,1,0.5575,0.699985,1.0269,5,0,0,8362.6,0,0,2.2408,1.9296,75,72,0
9,1,692,902,73,1,0.9902,0.972808,0.9902,4,0,0,39610.38,0,0,0.0126,0.0487,54,52,0
10,1,730,911,60,1,0.9219,0.9067,0.9219,0,0,0,46095.14,0,0,0.0935,0.074,75,75,0
6,1,630,909,,,,,,,56,1,,,,,,31,31,0
2,1,771,970,41,4,0,0.84349,0.5763,6,0,0,15194,1,1,0,1.494,0,0,0
3,1,553,351,64,2,1.0008,0.953683,1.0085,7,0,0,30257.59,0,0,0.0209,0.3889,67,102,0
8,1,714,859,226,4,0.673,0.814081,0.7361,0,0,0,33650.73,0,0,0.188,0.1563,40,21,0
6,1,535,904,78,2,1.0047,0.917816,1.0078,7,47,1,7535.42,0,4,0.0663,0.3106,2,2,0
9,1,608,936,76,1,0.9947,0.944958,0.996,4,0,0,98826.19,0,0,0.4626,0.8384,56,91,1
2,1,669,881,24,1,0.5463,0.652571,0.5463,3,1,0,546.3,1,1,0,4.2949,90,90,0
6,1,583,881,78,2,1.0121,0.966858,1.0121,3,0,0,30364.29,3,4,0,0.1016,57,102,1
5,1,687,955,36,1,0.9565,0.924933,0.9685,0,62,3,5811.08,2,5,0.0024,0.1053,38,23,0
10,1,574,883,74,1,0.973,0.809816,0.973,2,0,0,57676.89,0,0,0.0188,0.5206,96,96,1
6,1,608,97,12,1,1.0228,0.941625,1.0228,11,0,0,76713.58,2,2,0,0.0401,77,100,0
8,1,641,930,167,1,1.1292,1.095941,1.1292,11,0,0,,,,,,5,22,0
9,1,498,439,66,1,0,0,0,0,0,0,,,,,,87,87,2
7,1,705,762,14,1,0.9893,0.9822,0.9992,3,0,0,14989.32,4,7,0,0.0075,66,71,0
5,1,647,919,159,1,0.9799,0.965391,0.987,7,0,0,29610.87,0,9,0.0135,0.0111,46,51,0
